Source	Target
"A first?" I take it something's bothering you?	'처음'이라고? 뭔가 귀찮게 했나?
"Abe I'm scared," "Abe, what if we can't get down to the surface?" "Abe, what are we gonna do?" And so on, and so forth.	'에이브, 나 무서워,' '에이브, 우리 왜 저 아래로 못 내려가는 거야?' '에이브, 우리 이제 어쩌지?' 이러쿵 저러쿵.
"All Must Serve" both the Great Serpent and House Va'ruun. No exceptions.	'모두가 섬겨야 한다'는 말은 위대한 뱀과 바룬 가문 양쪽에 적용되는 것이다. 예외는 없다.
"All Must Serve, and right now this is how you serve."	'모두가 섬겨야 한다. 그리고 지금 바로 이것이야말로 당신이 섬기는 방식인 거예요.'
"All Must Serve."	'모두가 섬겨야 한다.'
"Amused" isn't the verbiage I'd choose to describe my frame of mind, but I'll acknowledge the observation.	나라면 지금의 심정을 표현하는 단어로 '즐겁다'라는 표현을 선택하지 않겠지만, 네 관찰은 인정해 주지.
"An invisible weapon."	'보이지 않는 병기.'
"Any legal troubles you cause are my troubles"? "Steer clear of law enforcement"?	'네가 일으키는 모든 법적 문제는 내 문제야'? '법무 집행을 피해'?
"Are you in a gang?" Pfff. You sound like a middle-aged bank teller.	'깡패예요?' 푸훗. 중년 은행원 같은 소리 하네.
"Armistice Archives?" What's that? And why would your Terrormorph data be in there?	'휴전 기록보관소'라는 게 뭐죠? 그리고 당신의 테러모프 자료가 왜 거기에 있는 거죠?
"Au Revoir," as they say.	'오 르부아'. 이런 말이 있죠.
"Away" permanently, or just temporarily? The method used depends on the intent.	'치운다'는 게 영원히야, 아니면 잠깐만이야? 의도에 따라서 방법이 달라지는데.
"Best operative I've ever hired." So much for that.	'제가 고용한 요원 중 최고거든요.' 퍽이나 그렇겠네.
"Best we can." What are you, five?	'최선을 다하겠습니다'는 무슨. 다섯 살이냐?
"Best"? You just cost this department a huge asset, so I beg to differ.	'최고'라고? 너 때문에 우리 부서의 막대한 자산을 잃었어. 동의할 수 없겠는걸.
"Better first than sorry" as they say.	흔히 얘기하는 말 있잖아, '후회하느니 일등이 되는 게 낫다'고.
"Bloodthirsty" ain't high on the list of qualities we're looking for.	우리는 피에 굶주린 사람이 필요한 게 아니에요.
"Boss." Good. You're getting it already. I like that.	'대장님'이라. 좋아, 벌써 이해하는군. 맘에 들어.
"Bottoms up," I believe they say.	'건배'라고 하겠지.
"Can't spell Marines without 'Mars.'"	'해병들 보면 다 화병 걸린 것처럼 화나 있잖아.'
"Can't spell Marines without 'Martian.'" Navy pilot joke.	'걔네들 다 화성 출신이라 그런 거래.' 해군 조종사 농담이란다.
"Cheap" is a word Quantum Synergies should never be associated with.	'저렴함'은 퀀텀 시너지스와 절대 연관되어서는 안 되는 단어예요.
"Chronicles of the Mech Riders." It's a good title. You'd read it, right?	'메크 라이더 연대기.' 좋은 제목이에요. 읽어보고 싶지 않아요?
"Chronicles" would be an uncompromising view of all the facets of being a mech pilot.	'연대기'는 메크 조종사가 되는 것의 모든 면모를 타협 없이 보여줄 거예요.
"Citizen: Class One." Not bad for you and Hadrian doing all the hard work.	'시민: 1등급’이라... 당신과 헤이드리안이 고생한 것 치고는 나쁘지 않네요.
"Class One?" For the three of us? Are you joking?	'1급 시민'이요? 우리 셋 다요? 농담하시는 거 아니지요?
"Commander Ikande deserves his accolades," said our source, "It was an honor to work with him."	소식통은 이칸데 사령관을 칭찬할 만하다고 전하며, '사령관과 함께 일할 수 있었던 것은 영광이었다'고 덧붙였습니다.
"Constellation is all about taking risks for exploring the unknown."	'컨스텔레이션은 미지의 세계를 탐험하기 위해 모든 위험을 감수하죠.'
"Control the narrative" as they like to say.	'소문이 퍼지는 걸 통제한다'라고들 하듯이 말이야.
"Corporate greed claims victims once more." And you have evidence to support this claim?	'기업의 탐욕이 또 다시 희생자를 낳다.' 그 주장을 뒷받침할 증거가 있나요?
"Crackers"... did I mean a crack in the wall? Cracking a safe? A nut? This is a tough nut to crack.	'쌀 전병'이라... 무슨 뜻으로 쓴 거지? 쌀을 전부 병에 담아라? 아이고, 등쌀이 따로 없구나.
"Crazy" might be a bit extreme, but I cannot entirely disagree.	'미쳤다'는 표현은 좀 과장스럽긴 하지만 부정할 수 없는 사실이네.
"Dear Diary, here's the coordinates. Make them pay." Yeah, this is why I don't keep a journal.	'친애하는 일기야. 여기 좌표야. 그 사람들에게 대가를 치르게 해줘.' 그래, 이래서 난 일기를 안 쓰지.
"Dear Diary, today we created an ecological disaster and then blamed it on an off-worlder. Love, Hephaestus."	‘친애하는 일기야, 오늘 우리는 생태계 재앙을 일으키고 외부 세계인에게 책임을 뒤집어씌웠어. 사랑을 담아, 헤파이스토스가.’
"Despicable" is too kind a word.	'증오'란 말도 너무 과분해.
"Detective husband"?	'탐정 남편'?
"Diplomacy" fails. Every time. And when it does, the Marines mop up the mess.	'외교'는 매번 실패합니다. 그리고 그럴 때마다, 해병대가 그 뒷수습을 하죠.
"Discretion" and the "Trade Tower" in Neon don't exactly go hand-in-hand.	네온에서 '신중함'과 '무역 타워'는 그다지 잘 어울리지 않네요.
"Do I have any deals," you say? Friendo, I am full of good deals!	'굿즈 재고가 없다', 그렇게 말한 겁니까? 프렌도, 굿즈가 가득 차 있습니다!
"Don't take shit from anybody," my mother says. And I don't.	'뭐 같은 일은 참지 마라'고 엄마가 그랬어요. 그래서 안 참아요.
"Down here?" Like that's somehow different from other bars? Worse, maybe? That what you were implying?	'이 아래?' 다른 술집이랑 뭔가 다르다는 말인가? 더 구리다는 거야? 그런 뜻이었나?
"Eggmund" Desk Assistant	책상 위의 비서 '에그문드'
"Eliminating targets" sounds a lot like the use of military force to me.	'표적 제거’라는 말이 군사력 사용과 크게 다르지 않아 보이는데요.
"Enemy" is a strong word, but not inaccurate.	'적'이라... 좀 강한 표현이긴 한데, 틀린 말은 아니에요.
"Fancy talk" here's got the right idea.	여기 '멋진 말씀'을 하시는 분 말이 맞아요.
"Fascinating" isn't the word I would use to describe it.	그걸 '매혹적'이라는 말로 설명하면 안 되지.
"Financial nightmare" conjures up quite the image, especially for someone in my position.	'재정적 악몽'이라니 꽤나 인상적인 표현이에요. 특히 제 입장에서는요.
"Finders, keepers" I believe Cora would say.	'찾는 사람이 임자'라고 코라가 말했던 것 같아.
"Fun" is not a consideration.	'재미'는 고려 대상이 아니야.
"Gesture" is an understatement.	'제스처'라니 절제된 표현이네요.
"Go to Mars!" they said. "The pay is great!" they said. So's the crippling depression.	'화성에 가라!'고들 하더라고요. '월급이 대단해!'라고도 했죠. 우울증도 대단하지만요.
"Great minds advancing basic research for the future of humanity."	'인류의 앞날을 위한 초석을 다지는 위대한 지성.'
"Gross negligence" sounds like people could get hurt.	'중과실'이라니 사람들이 다칠 수도 있다는 뜻 같은데요.
"Ground zero for Xenoweapons deployments" was how it was described to me.	'외계생물병기가 처음 배치된 시작점'이라고 하더군요. 들은 설명에 따르면요.
"Harvey" was Ervin's, but he's also ours. We found him together. Saved him from another dying world.	'하비'는 어빈 것이었지만, 우리 것이기도 해. 나도 같이 찾았거든. 죽어가는 행성에서 구해줬지.
"Hasty" is not the issue, I think. It is a question of severity, and killing her seems too much.	'성급함'이 문제가 아니야. 심각성의 문제죠. 이모진을 죽이는 건 너무 과한 것 같아요.
"Hot" ships? What are you talking about? Is this some sort of fetish thing?	‘화끈한’ 함선? 무슨 소리야? 이거 뭔가 페티쉬 같은 거야?
"I got as much right to those maps as anyone."	'저도 지도를 가질 권리가 있어요.'
"I have always operated for the benefit of House Va'ruun."	'저는 언제나 바룬 가문의 이익을 위해서 행동해 왔습니다.'
"I may be drunk, sir, but in the morning you'll still be ugly."	'제가 술에 취했을지 모르지만, 내일 아침이 되어도 얼굴이 못생길 사람은 그쪽입니다.'
"I promise." You going to write that in your diary, little girl?	어머나, '약속하죠'래. 일기장에도 써 넣을 거지, 꼬마 아가씨?
"I was born ready."	'태어날 때부터 준비되어 있었다고.'
"I was just going to GalBank," one person said, "Do I have to be subjected to Universal propaganda?"	한 행인은 '그냥 갤뱅크 가는 중인데, 갑자기 우주의 성소 선전하는 걸 들어야 합니까?'라고 말했습니다.
"I'm interested?" Come on! You're not shopping for real estate here. I'm offering you a crack at some REAL money.	'관심 있어'? 제발! 부동산 사러 온 것도 아니고. '진짜' 돈을 벌 기회를 주는 거라고.
"Ideals" aren't about to pay my power bill. But I think I found something that may.	'이상'으로는 전기세를 낼 수 없죠. 하지만 그걸 해결해 줄 무언가를 찾은 것 같아요.
"Infinitum Addendum." That's an odd saying. Very specific.	'인피니텀 아덴둠'. 이상한 표현인데요. 너무 구체적이에요.
"Insurance" Recording - Estelle Vincent	'보험' 기록 - 에스텔 빈센트
"Intentionally"? Help me understand what you're saying.	'의도해서는' 이라고요? 무슨 뜻인지 알려주세요.
"It takes a lot of firepower to take out a Terrormorph," our source said.	소식통에 따르면, 테러모프 퇴치에는 상당한 화력이 필요하다고 합니다.
"It will be an honor."	'영광입니다.'
"Just answer the damn questions."	'그냥 망할 놈의 질문에 답이나 하라고요.'
"Keeper" by title, but yes, I suppose the title fits.	'목자'라는 직책이네만, 맞아. 그렇게 불러도 되겠군.
"Labor is the fruit of civilization", as they say.	그 사람들이 말하듯 '노동은 문명의 열매'라고 하죠.
"Liberated" goods is my specific area of interest.	'위치 이동'된 상품은 제가 특히 관심을 두고 있는 분야입니다.
"Madame Sauvage's Place." Looks... cozy? If we're going inside, better keep an eye on your CredStik.	'마담 소바쥬의 처소'라. 아늑해 보이는데... 들어가면 우리 크레딧 스틱에 눈을 떼지 말아야겠어.
"Maldonado" has it? The data broker? That is a problem. I'll have to inform corporate immediately...	'말도나도'가 갖고 있다고요? 그 데이터 중개상 말인가요? 이건 문제가 되겠군요. 당장 본사에 알려야겠어요...
"Middle man"? I would pay to see the look on Dalton's face to hear you say that.	'중개인'이라고? 네가 그렇게 말하는 걸 듣는다면 달튼의 표정이 어떨지 돈 주고라도 보고 싶네.
"Mum?" This means we are in agreement? Thank you. That is good to know.	입이 무거워? 약속을 지킨다는 거지? 고마워. 그 말을 들으니 안심이네.
"My reputation precedes me," eh? I've always wanted to say that.	'자리가 사람을 만든다'라는 말이 있죠? 그렇게 말하고 싶군요.
"New Atlantis Security: Polite but Unhelpful." Truth in advertising, eh?	'뉴아틀란티스 경비대: 예의 바르지만 쓸모없는' 솔직한 광고 아냐?
"Next time?" Hopefully there will be no next time. Once was enough.	'다음에?' 다음은 없었으면 좋겠군. 한번으로 충분해.
"Nice?" Short-sighted and ill-advised, in my opinion.	'멋지다'고요? 난 근시안적이고 경솔했다고 봅니다.
"No. It's all a blank..."	'아니요. 전혀 기억이 안 나요...'
"Noel, Chair of Constellation" has a nice ring to it.	'컨스텔레이션 의장 노엘.' 듣기 좋네.
"Nos Belli Machinis."	'노스 벨리 마키니스.'
"Nos Belli Machinis." Won't be able to use Kaiser's voice controls until he hears that phrase.	'노스 벨리 마키니스.' 라고 말해야 그 로봇이 명령을 들을 거예요.
"Nowhere you've heard of" sounds like exactly where I come from.	'들어본 적 없는 곳'이라... 제가 온 곳과 똑 닮았네요.
"Offworld Eats" is an interesting name for a restaurant.	'오프월드 이츠'라는 이름이 흥미로운데요.
"Oh, you're a Coe? Like Solomon?" Then they'd just wave me through.	'아, 코 가문 출신인가? 바로 솔로몬의 가문?' 그럼 나를 쉽게 통과시켰지.
"Old wounds" is an interesting turn of phrase, given our past.	그때 그 일이 그저 '지나간 일'이라니, 재미있는 표현이로군.
"On Hyla II, the island hides the scorpion, and the scorpion's sting hides the truth."	'힐라 II에서는 섬이 전갈을 숨기고, 전갈의 독침이 진실을 숨긴다.'
"One less" indeed, because there will always be more.	'하나 줄었을' 뿐이죠. 배신자는 항상 더 있을 테니까요.
"Peeking through the Eye"? More pirate talk?	'더 아이를 들여다보고 있었다'고요? 그거 혹시 해적질 얘기인가요?
"Perhaps"? I prefer to work in "guarantees."	'어쩌면'이라고? 난 '확실한' 걸 선호하는데.
"Petroooooov! It's me!"	'페트로오오오프! 저예요!'
"Premium" smuggling routes?	가장 좋은 밀수 루트라고요?
"Priceless" Gem	비싸보이는 보석
"Process my benefits?" Not sure I follow.	'혜택 처리'라니 잘 모르겠네요.
"Rarely" at the expense of our members' lives?	구성원들의 목숨이 희생되는 일은 '거의' 없었다고?
"Razor derby is the only real sport." Yes. Got it.	'레이저 더비만이 진정한 스포츠야.' 네. 알겠어요.
"Remarkable" doesn't mean it should be legal. Mechs were remarkable once.	'놀랍다'는 게 합법적이어야 한다는 뜻은 아니에요. 메크도 한때는 놀라웠죠.
"Repeat some grim history." What're you talking about?	'암울한 역사'라는 건 무슨 말이죠?
"Return of the Interceptor." It was cool, but I think the series is starting to get old. We'll see how number 8 is.	'인터셉터의 귀환'이요. 멋있었지만, 시리즈가 좀 식상해지기 시작한 것 같아요. 8편은 어떨지 두고 봐야죠.
"Rook on deck"? That's pirate talk, isn't it?	'갑판에 신참'이요? 이거 해적 용어죠?
"Sanctum Universum" means "Holy Universe". That's the core of what we believe - that the universe itself is holy.	'우주의 성소'란 '신성한 우주'를 뜻해. 그게 우리 믿음의 핵심이야. 우주 그 자체가 신성하다는 거지.
"Sarah Morgan"	'사라 모건'
"Saving House Va'ruun" wasn't on my to-do list today, but screw it. Let's go be heroes.	'바룬 가문을 구하기'는 오늘 할 일 목록에 없었지만, 뭐 어때. 영웅이 되러 가자고.
"Shame spiral" is the term that came to mind, but... sure, that works.	'수치심의 소용돌이’라는 표현이 떠올랐지만... 뭐, 그것도 괜찮네.
"She paid the price"? You mean she's dead?	'대가를 치르게 했다'고요? 울라루가 죽었다는 말인가요?
"Show some respect and answer the questions."	예의 좀 갖추고 질문에 답이나 하시죠.
"Skip to the part where you admit you're lying."	거짓말을 했다는 걸 인정하고 넘어가는 게 어때.
"Sniper support," indeed.	'저격수 지원'이라, 그렇지.
"Solar Frontiers" Game	'솔라 프론티어' 게임
"Sorry Estelle, this was your scheme. You're on your own." Believe me, he's not going to be much help.	'미안해, 에스텔, 이건 네 계획이었잖아. 알아서 해라.' 그 인간은 나한테 별 도움 못 줄 거야.
"Special rock" indeed. Very clever.	'특별한 돌덩이' 맞긴 하지. 재치있네.
"Starlocked" Board Game	'스타락' 보드 게임
"Strategic Asset"... more like a financial black hole. I don't know why we keep funding that...	'전략 물자'... 재정 블랙홀이란 이름이 더 어울리네. 여기에 왜 자금을 계속 투입하는지 모르겠네...
"Symbiotic culture of bacteria and yeast." SCOBY.	스코비란, '박테리아와 효모의 공동 균사체'를 뜻하지.
"SysDef was successful in finally righting the wrongs of the past," said our source.	정보 제공자는 '성계 방위군이 마침내 과거의 잘못을 바로잡을 수 있었다'고 전했습니다.
"Tag," indeed Sam. We will see you later.	'술래'라는 표현은 맞는 것 같아, 샘. 나중에 보자.
"Taken care of"? No details on what actually happened to her?	'상황은 처리됐다'라고요? 울라루에게 실제로 무슨 일이 있었는지는 자세히 말씀 안 하시는 거예요?
"Tell Petrov his buddy Barrett is here to see him."	'페트로프한테 친구 배럿이 만나러 왔다고 좀 전해줘.'
"Thank you" seems inappropriate, given what you have done. But I do not know what else to say.	이 일을 생각하면 '고맙다'는 말을 하는 것도 이상할 것 같지만, 그 외에는 뭐라고 말해야 할지 모르겠어.
"Thank you's" don't pay the bills, but you're welcome, regardless.	'고맙다'는 말로는 빚을 갚을 순 없지만, 어쨌든 천만에.
"Thanks for delivering critical supplies" would be nice to hear once in a while.	'중요한 물품을 배달해줘서 고마워’라는 말을 가끔은 듣고 싶네요.
"That, dare I say, I am fortunate my soul has a home it can always come back to."	'내가 감히 말하건대, 언제나 내 영혼이 돌아올 집이 있어서 행운이라고.'
"The Cataxi in the other universe." Uh-huh. Wow.	다른 우주의 카탁시... 아하, 네.
"The credit goes to the hard-working men and women that keep the line pushing ships hour-after-hour," said Ron Hope.	론 호프는 '열심히 일하는 선남선녀 직원들이 오랜 시간 조립 라인을 지키며 함선을 건조한 덕분'이라고 전했습니다.
"The Crimson Fleet came into a huge amount of money. Enough to change the balance of power."	'크림슨 함대는 막대한 자금을 손에 넣었습니다. 힘의 균형을 바꾸기에 충분한 금액일 정도로.'
"The journey of a thousand kilometers begins with a simple step." I mean hey, not everything can be a grav jump.	'천 리 길도 한 걸음부터'라고 하잖아. 그러니까, 모든 게 중력 도약일 수는 없다는 거지.
"The prisoner" asked me to deal with a "Dr. Orlase." Figured you and I should discuss.	'죄수'가 나에게 '올레이즈 박사'를 처리해 달라고 요청했어요. 당신과 논의해야 할 것 같아요.
"The Radical Adventures of Jim and James." It's super old, but still made me crack up.	'짐과 제임스의 과격한 모험'이요. 엄청 오래된 영화지만, 여전히 웃음이 나오더라고요.
"The remarkable success of the Vanguard," the president said, "Is standing right before us."	대통령은 '뱅가드의 놀라운 성공은 바로 우리 눈앞에 서 있습니다'라고 전했습니다.
"The Terrormorphs are coming? The Terrormorphs are coming?"	'테러모프가 오고 있는가? 테러모프가 오고 있는가?'
"There was music, then light..."	'음악이 들렸고, 빛이 보였어요...'
"They ascend into the heavens; they have discovered how the blood circulates, and the nature of the air we breathe."	'그 사람들은 하늘로 올라간다. 그 사람들은 혈액이 어떻게 순환하는지, 우리가 숨쉬는 공기의 본질을 발견했다.'
"They penetrate into the recesses of nature and show how she works in her hiding-places."	'그 사람들은 자연의 비밀스러운 곳을 꿰뚫어 보고 자연이 은신처에서 어떻게 작용하는지 보여준다.'
"To deny your daughter the right to serve is shameful."	'자신의 딸이 뱀을 섬길 권리를 빼앗는 건 수치스러운 겁니다.'
