Source	Target
"...and unwavering obedience to the officers of his great Empire."	'... 그리고 폐하의 위대한 제국의 장교들에게 흔들림 없이 복종할 것을 맹세합니다.'
"...even to my lord as to my fellow brothers and sisters in arms."	'... 내 동료 전우들과 함께, 주군께 충성을 바칠것을 선서합니다.'
"...Jarl of Windhelm and true High King of Skyrim."	'...그분은 윈드헬름의 야를이시며 스카이림의 진정한 하이킹이시니.'
"All hail the Stormcloaks, the true sons and daughters of Skyrim!"	'진정한 스카이림의 자식, 스톰클록 만세!'
"As Talos is my witness, may this oath bind me to death and beyond..."	'탈로스께서 내 증인이시며, 죽음과 그 너머라도...'
"Bent a few folks' arms the wrong way"?	'주민들의 무기가 엉뚱한 방향을 향했다'고?
"Blood and silver are what flows through Markarth...." -- popular saying	'마르카스에는 은과 피가 흐르고 있다...' - 격언
"Dimwits"? What happened?	'멍청이들'? 무슨 일이 있었던 겁니까?
"End of Days"? I don't think things are quite that bad.	'세상의 종말'? 그렇게까지 나쁜 상황은 아니라고 생각하는데.
"Honor" is a coward's tool.	'명예'는 겁쟁이들이나 쓰는 도구요.
"I do swear my blood and honor to the service of Ulfric Stormcloak..."	'나는 나의 피와 명예를 걸고 울프릭 스톰클록을 섬길 것을 맹세합니다...'
"I'll do"? What are you talking about?	'해낼 수 있다니'? 무슨 말이지?
"Long live the Emperor! Long live the Empire!"	'황제 폐하 만세! 제국 만세!'
"May those above judge me, and those below take me, if I fail in my duty."	'내가 의무를 다하지 못할 때, 하늘이 나를 심판하고, 땅이 나를 데려갈지니.'
"No rest in Dawnstar"?	'던스타에서는 쉴 수 없다'라니?
"Nothing changes in the city of stone...." -- Amanda Alleia, A Sellsword's Guide to Markarth	'돌의 도시안에서는 그 어떤 것도 변하지 않았다...' - 아만다 알레이아, 마르카스의 용병 안내서 중에서
"One of the Jarl's men"?	'야를의 부하'?
"Seen my coming"? What do you mean?	'내가 오고 있는 것을 봤다'? 무슨 뜻이오?
"The best techniques are passed on by the survivors." -- Gaiden Shinji, 1E 490	'가장 좋은 기술은 살아남은 자들을 통해 전수된다.' - 가이든 신지, 제 1시대 490년
"Upon my honor I do swear undying loyalty to the Emperor, Titus Mede II..."	'내 명예를 걸고 타이투스 메데 2세 폐하께 영원한 충성을 맹세하고...'
"Upon my honor I do swear undying loyalty to the Emperor..."	'내 명예를 걸고 황제 폐하께 영원한 충성을 맹세하고...'
"White-Gold Concordat"? What's that?	백금 조약? 그게 뭐지?
